Length,audio_name,Transcript,negative_count,positive_count,negative_positions,positive_positions,Senti,Negative_Frame_Sentiments,Positive_Frame_Sentiments
21.04,1.wav,پلیز ایک مشہور برینڈ ہے اور لوگوں کو بہت پسند ہے ان کے فلیور کی ٹیکسچر کافی مشہور ہے مشہور ہیں لیکن میرے حساب سے کچھ اور ازمانے کی ضرورت ہے پلیز مجھے بہت پسند ہے اور مجھے لیز اچھے لگتے ہیں,1,7,[11],"[2, 5, 9, 9, 10, 18, 20]",0,[0],"[0, 0, 0, 0, 0, 0]"
23.07,2.wav,پلیز میرا پسندیدہ اسنیک ہے اور ہر بائیک مجھے خوش رکھتی ہے اور ہر بات مجھے ان کے سارے فلیور میرے لئے اچھے ہیں میں لیز کی تعریفوں میں کہاں کام ہو سکتے ہیں,2,3,"[7, 21]","[2, 16, 19]",1,"[0, 0]","[0, 0, 0]"
28.16,3.wav,میرا نام اسان عبداللہ اور اج مجھ سے رزق لیز کا ریویو دیا گیا ہے پلیز ایک اچھا فرینڈ ہے لیکن یہ اسرائیلی گروپ برانڈ ہے اور اج کل اپ کو پتہ ہے اسرائیل پیلسٹائن وار ہو رہی ہے جس میں لیز فنانشل ازرائیل کو سپورٹ کر رہا ہے اس لئے میں اس لیز پروڈکٹ کا بائیکاٹ کر رہا ہوں ادر وائز ان کا ذائقہ ٹھیک ہے لیکن ان کا جو کاز ہے وہ غلط ہے اس لیے میں نے اس کو ریکارڈ کرتا ہوں,4,3,"[7, 19, 23, 25]","[6, 15, 22]",2,"[0, 0, 9, 0]","[0, 0, 1]"
26.74,4.wav,السلام علیکم میرا نام اسان عبداللہ ہے اور اج اسے لیز کا ریویو لیا گیا لیز ایک اچھا ملٹی نیشنل برانڈ ہے جو المسال اف دا ورلڈ میں اپریٹ کر رہا ہے پروڈکٹس ہر جگہ اویلیبل ہوتی ہیں ان کی اچھی ہوتی ہے اور اگر اپ کہیں تو ذائقے میں ان کو 10 میں سے 8 ریٹ کروں گا اور یہ میرا ریویو ہے,0,3,[],"[8, 15, 17]",1,[],"[0, 0, 1]"
29.31,5.wav,السلام علیکم میرا نام ارشد ہے ماجد ہے اور اج میں اپ کو لیس کے کچھ برے باتیں بتاؤں گا لیز فیٹو لے کمپنی کی ایک ایجاد ہے اور یہ جو ہے نا یہ اسرائیل کی ایک کمپنی ہے تو انہوں نے اسرائیل کو سپورٹ کیا ہے ابھی جو بور ہو رہی ہے اسرائیل پہلے اس ٹائم کی کافی عرصے سے چل رہی ہے انہوں نے اسرائیل کو سپورٹ کیا ہے سو اس لیے میں جو ہوں ڈس لائک کروں گا لیز کو,3,3,"[6, 18, 28]","[16, 21, 24]",2,"[0, 0, 0]","[0, 0, 0]"
21.5,6.wav,السلام علیکم میرا نام مرتضی ماجد ہے اور اج میں اپ کو لیز ٹپس کی ایک تھوڑی بہت بتانا چاہوں گا پلیز بہت اچھے فرینڈ ہیں اور ان کے بہت مزے کی چپس ہوتے ہیں اور ان کی پیکجنگ بھی بہت اچھی ہوتی ہے اور یہ کافی مزے کی,0,3,[],"[11, 18, 21]",1,[],"[0, 0, 0]"
15.15,7.wav,السلام علیکم میرا نام مرتضی ہے اور میں اج اپ کو تھوڑا لیز کے بارے میں کچھ بتانا چاہوں گا پلیز ایک بہت اچھا فوڈ برانڈ ہے یہ پیکجنگ ان کی بہت اچھی ہوتی ہے اور بہت اچھے اچھے ٹپس بناتے ہیں,0,4,[],"[9, 12, 14, 14]",1,[],"[0, 1, 1]"
44.36,8.wav,اج میں اپ کو بتاؤں گا لیس کے بارے میں ڈس ایڈوانٹیج اس کی نقصانات کیا ہیں بچوں کے اوپر بہت سے برے نصاف پڑھتے ہیں اس کے اوپر اس کے کھانے سے بچوں کے لئے دل کی بیماری بنتی ہے اور موسٹلی موسٹلی کینسل ڈیزیز ہوتا ہے اور اس کے کھانے سے اپ کی جو کیلوریز ہیں وہ بڑھ جاتی ہیں جس کی وجہ سے بچوں کو بھوک نہیں لگتی لہذا یہ نہیں کھانے چاہیے اور لیس سے اجتناب کیا جائے تو بہتر ہے اپنے بچوں کو بچائیں اس لیے سے اور ان کے سارے فلیورز ہوتے ہیں اس میں مختلف سے ایسٹ ہوتے ہیں جس کی وجہ سے وہ کھا کے بچے بیماری متعین بیماریوں میں ڈسکس پیدا ہوتی ہیں اور وہ بیماریوں میں مبتلا ہو جاتے ہیں اس لئے اس کے بہت سارے نقصانات بھی ہیں ہمارے معاشرے میں اس کے بہت نقصانات ہیں,15,5,"[3, 5, 7, 12, 17, 21, 22, 24, 27, 35, 35, 38, 38, 41, 44]","[6, 9, 11, 25, 31]",2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
37.23,9.wav,السلام علیکم اج لیس کی فائدے اپ کو میں بتانے جا رہا ہوں بیسیکلی لیز پورے ورلڈ وائڈ میں یوز ہونے والا ایک ایسا اسنیک ہے جو سب یوز کرتے ہیں بیسیکلی لیز میں اپ کو یہ جسٹ ایک ریفریشمنٹ کے ذریعہ ہے جو اپ کو ریفریشمنٹ بھیج دیتا ہے پلیز بیسیکلی ہم جب بھی کھاتے ہیں ہمیں ملتی ہے ایک تازگی سے ملتی ہے اسی طرح ہمارے پاس 90 میں پوٹاشیم مل جاتا ہے سوڈیم مل جاتا ہے وٹامن سی کبھی وہ ملتا ہے یہ لسٹ میں ایک ہمیں فائدہ مل جاتا ہے جو ہماری ہیلتھ کے لیے بہت اچھا ہے بیسیکلی یہ کوئی,1,5,[19],"[14, 17, 22, 32, 36]",1,[0],"[0, 0, 1, 0, 0]"
23.4,10.wav,ہیلو دوستو اج میں اپ کو بتاؤں گا لسٹ کے بارے میں لیس کے ڈیفنس لیبرز ہیں مختلف فلیورز اس کے یوز ہوتے ہیں پورے وائس میں اور دوسرا یہ کہ یہ بہت اچھی چیز ہے اس سے انرجی لیول بوسٹ ہوتا ہے اور اس کو زیادہ تر کول ڈریکس وغیرہ کے ساتھ سرو کیا جاتا ہے اور بچوں کا بہت ہی پسندیدہ فلیورز ہوتے ہیں,2,7,"[12, 17]","[6, 12, 14, 14, 15, 19, 22]",1,"[0, 0]","[0, 1, 1, 1, 0, 0]"
