audio_name,word,start_time,end_time
1.wav,پلیز,0,2
1.wav,یہ,2,2
1.wav,مشہور,2,3
1.wav,ترین,3,3
1.wav,ہے,3,3
1.wav,اور,3,3
1.wav,لوگوں,3,4
1.wav,کو,4,4
1.wav,بہت,4,4
1.wav,پسند,4,4
1.wav,ہے,4,5
1.wav,ان,5,5
1.wav,کے,5,5
1.wav,فلیور,5,5
1.wav,ٹیچر,5,7
1.wav,کافی,7,7
1.wav,مشہور,7,8
1.wav,ہے,8,9
1.wav,اور,9,12
1.wav,آزمایا,12,12
1.wav,ہے,12,13
1.wav,پلیز,13,15
1.wav,مجھے,15,16
1.wav,بہت,16,16
1.wav,پسند,16,16
1.wav,ہیں,16,17
1.wav,اور,17,17
1.wav,مجھے,17,18
1.wav,بہت,18,18
1.wav,اچھے,18,19
1.wav,لگتے,19,19
1.wav,ہیں,19,19
2.wav,میری,0,2
2.wav,پسندیدہ,2,2
2.wav,سنیکس,2,3
2.wav,ہے,3,3
2.wav,اور,3,4
2.wav,ہر,4,4
2.wav,پانچ,4,4
2.wav,میں,4,4
2.wav,خوش,4,5
2.wav,رہتی,5,6
2.wav,ہے,6,6
2.wav,اور,6,8
2.wav,ان,8,13
2.wav,کے,13,13
2.wav,سارے,13,13
2.wav,فلیور,13,14
2.wav,میرے,14,14
2.wav,لیے,14,15
2.wav,اچھے,15,15
2.wav,میں,15,16
2.wav,یہ,16,16
2.wav,حدیث,16,17
2.wav,کی,17,17
2.wav,تعریف,17,17
2.wav,کہاں,18,20
2.wav,کام,20,20
2.wav,ہو,20,21
2.wav,سکتے,21,21
2.wav,ہیں,21,22
3.wav,نام,0,0
3.wav,ساغر,0,1
3.wav,ہے,1,1
3.wav,اور,1,2
3.wav,آج,2,2
3.wav,مجھ,2,2
3.wav,سے,2,2
3.wav,لیس,2,4
3.wav,کر,4,4
3.wav,دیا,4,4
3.wav,گیا,4,5
3.wav,ہے,5,5
3.wav,جس,5,15
3.wav,میں,15,15
3.wav,لیڈیز,15,15
3.wav,فینسی,15,16
3.wav,کی,16,16
3.wav,ایکسپورٹ,16,17
3.wav,ہے,17,17
3.wav,اس,17,18
3.wav,لیے,18,18
3.wav,میں,18,19
3.wav,اسے,19,19
3.wav,ایک,19,19
3.wav,ریسٹورینٹ,19,20
3.wav,بائیکاٹ,20,21
3.wav,کر,21,21
3.wav,رہا,21,21
3.wav,ہوں,21,21
3.wav,ٹھیک,21,23
3.wav,ہے,23,24
3.wav,جو,24,24
3.wav,ہے,24,25
3.wav,وہ,25,25
3.wav,غلط,25,25
3.wav,ہے,25,25
3.wav,اس,25,26
3.wav,لیے,26,26
3.wav,میں,26,26
3.wav,نے,26,26
3.wav,اس,26,26
3.wav,کو,26,27
3.wav,ریکارڈ,27,27
3.wav,کرتے,27,28
3.wav,ہیں,28,28
4.wav,السلام,0,0
4.wav,علیکم,0,1
4.wav,میرا,1,1
4.wav,نام,1,1
4.wav,سعد,1,2
4.wav,ہے,2,2
4.wav,اور,2,3
4.wav,عالم,3,3
4.wav,سے,3,4
4.wav,لیس,4,4
4.wav,کر,4,4
4.wav,دیے,4,5
4.wav,گئے,5,5
4.wav,ہیں,5,5
4.wav,پلیز,5,6
4.wav,مجھے,6,6
4.wav,ٹینشن,6,7
4.wav,لے,7,8
4.wav,رہی,8,8
4.wav,ہے,8,9
4.wav,اور,9,11
4.wav,پیٹ,11,11
4.wav,کر,11,11
4.wav,رہے,11,11
4.wav,ہوتے,11,14
4.wav,ہیں,14,14
4.wav,موٹر,15,16
4.wav,سائیکل,16,16
4.wav,کے,16,17
4.wav,پیچھے,17,17
4.wav,لکھے,17,17
4.wav,ہوئے,17,17
4.wav,اور,17,18
4.wav,اگر,18,19
4.wav,آئے,19,20
4.wav,تو,20,20
4.wav,میں,20,21
4.wav,کیا,21,22
4.wav,کروں,22,23
4.wav,گا,23,23
4.wav,اور,23,24
4.wav,یہ,24,25
4.wav,ہے,25,25
5.wav,السلام,1,2
5.wav,علیکم,2,2
5.wav,میرا,2,2
5.wav,نام,2,3
5.wav,آپ,3,4
5.wav,کے,4,5
5.wav,کچھ,5,6
5.wav,برے,6,7
5.wav,بات,7,7
5.wav,بتاؤں,7,8
5.wav,گا,8,8
5.wav,پلیز,8,8
5.wav,یہ,12,13
5.wav,اسرائیل,13,15
5.wav,کے,15,15
5.wav,حق,15,15
5.wav,میں,15,16
5.wav,ہیں,16,16
5.wav,تو,16,16
5.wav,انہوں,16,17
5.wav,نے,17,17
5.wav,اسرائیل,17,18
5.wav,کو,18,18
5.wav,سپورٹ,18,18
5.wav,کیا,18,18
5.wav,ہے,18,19
5.wav,یہ,19,19
5.wav,جو,19,19
5.wav,ہوگئی,19,20
5.wav,ہے,20,21
5.wav,اسرائیل,21,21
5.wav,کا,21,21
5.wav,آگے,21,22
5.wav,کافی,22,22
5.wav,عرصے,22,23
5.wav,سے,23,23
5.wav,چل,23,23
5.wav,رہی,23,24
5.wav,ہے,24,24
5.wav,اس,24,26
5.wav,لیے,26,26
5.wav,میسج,26,27
5.wav,نہیں,27,27
5.wav,کروں,27,28
5.wav,گا,28,28
6.wav,اسلام,0,2
6.wav,علیکم,2,2
6.wav,میرا,2,3
6.wav,نام,3,3
6.wav,ساجد,3,3
6.wav,ہے,3,4
6.wav,اور,4,4
6.wav,آج,4,4
6.wav,میں,4,4
6.wav,اپ,4,5
6.wav,کو,5,5
6.wav,لیز,5,6
6.wav,چپس,6,6
6.wav,کی,6,6
6.wav,ایک,6,7
6.wav,تھوڑی,7,7
6.wav,بہت,7,8
6.wav,بتایا,8,8
6.wav,جائے,8,9
6.wav,گا,9,9
6.wav,پلیز,9,10
6.wav,آپ,10,13
6.wav,مجھے,13,13
6.wav,کب,13,13
6.wav,سوتے,13,14
6.wav,ہیں,14,14
6.wav,اور,14,14
6.wav,ان,14,14
6.wav,کے,14,14
6.wav,پاس,14,14
6.wav,بھی,14,15
6.wav,بہت,15,15
6.wav,اچھی,15,15
6.wav,ہوتی,15,15
6.wav,ہے,15,16
6.wav,اور,16,16
7.wav,السلام,1,2
7.wav,علیکم,2,2
7.wav,میرا,2,2
7.wav,نام,2,2
7.wav,عرفان,2,2
7.wav,ہے,2,3
7.wav,اور,3,3
7.wav,میں,3,4
7.wav,آپ,4,4
7.wav,کو,4,5
7.wav,تھوڑا,5,5
7.wav,لیز,5,5
7.wav,کے,5,5
7.wav,بارے,5,6
7.wav,میں,6,6
7.wav,کچھ,6,6
7.wav,بتانا,6,6
7.wav,چاہوں,6,7
7.wav,گا,7,7
7.wav,بہت,7,14
7.wav,اچھے,14,14
7.wav,بناتے,14,14
7.wav,ہیں,14,15
8.wav,آج,1,1
8.wav,میں,1,2
8.wav,آپ,2,2
8.wav,کو,2,2
8.wav,بتاؤں,2,2
8.wav,گا,2,2
8.wav,اس,2,2
8.wav,کے,2,3
8.wav,بارے,3,3
8.wav,میں,3,3
8.wav,ڈسکس,3,3
8.wav,نہیں,3,4
8.wav,تھے,4,4
8.wav,اس,4,4
8.wav,کی,4,4
8.wav,قیمت,4,6
8.wav,کیا,6,6
8.wav,ہے,6,6
8.wav,بچوں,6,6
8.wav,کے,6,7
8.wav,اوپر,7,7
8.wav,بہت,7,7
8.wav,سے,7,7
8.wav,نفرت,7,8
8.wav,کرتے,8,8
8.wav,ہیں,8,8
8.wav,اس,8,8
8.wav,کے,8,8
8.wav,اوپر,8,9
8.wav,اس,9,9
8.wav,کے,9,9
8.wav,کھانے,9,9
8.wav,سے,9,9
8.wav,بچوں,9,10
8.wav,کے,10,10
8.wav,لئے,10,10
8.wav,دل,10,10
8.wav,کی,10,10
8.wav,بیماری,10,11
8.wav,بنتی,11,11
8.wav,ہے,11,11
8.wav,اور,11,12
8.wav,موسم,12,13
8.wav,سے,13,13
8.wav,کینسر,13,13
8.wav,ہوتا,13,14
8.wav,ہے,14,14
8.wav,اور,14,15
8.wav,اس,15,15
8.wav,کے,15,15
8.wav,کھانے,15,16
8.wav,سے,16,16
8.wav,آپ,16,17
8.wav,کی,17,17
8.wav,جو,17,17
8.wav,پڑھی,17,19
8.wav,جاتی,19,19
8.wav,ہیں,19,20
8.wav,جس,20,20
8.wav,کی,20,20
8.wav,وجہ,20,20
8.wav,سے,20,20
8.wav,بچوں,20,21
8.wav,کو,21,21
8.wav,بھوک,21,21
8.wav,نہیں,21,22
8.wav,لگتی,22,22
8.wav,یہ,22,23
8.wav,یہ,23,24
8.wav,نہیں,24,24
8.wav,کھانا,24,24
8.wav,چاہیے,24,25
8.wav,اور,25,25
8.wav,کھانے,25,26
8.wav,سے,26,26
8.wav,اجتناب,26,26
8.wav,کیا,26,27
8.wav,جائے,27,27
8.wav,تو,27,27
8.wav,بہتر,27,28
8.wav,ہے,28,28
8.wav,اپنے,28,28
8.wav,بچوں,28,28
8.wav,کو,28,28
8.wav,بچائیں,28,28
8.wav,اس,28,29
8.wav,لئے,29,29
8.wav,سے,29,29
8.wav,اور,29,30
8.wav,ان,30,30
8.wav,کے,30,30
8.wav,ساتھ,30,31
8.wav,مریضوں,31,31
8.wav,کے,31,31
8.wav,اس,31,31
8.wav,میں,31,31
8.wav,مسلسل,31,32
8.wav,ایسے,32,32
8.wav,ہوتے,32,32
8.wav,ہیں,32,33
8.wav,جس,33,33
8.wav,کی,33,33
8.wav,وجہ,33,33
8.wav,سے,33,34
8.wav,وہ,34,34
8.wav,کھا,34,34
8.wav,کے,34,34
8.wav,بچے,34,34
8.wav,بیمار,34,35
8.wav,ہوتے,35,35
8.wav,ہیں,35,35
8.wav,جس,35,36
8.wav,نے,36,36
8.wav,کیا,36,37
8.wav,ہو,37,38
8.wav,جاتا,38,38
8.wav,ہے,38,38
8.wav,اس,38,40
8.wav,لیے,40,40
8.wav,اس,40,40
8.wav,کے,40,40
8.wav,بہت,40,40
8.wav,سارے,40,40
8.wav,سوالات,40,41
8.wav,بھی,41,41
8.wav,ہیں,41,42
8.wav,ہمارا,42,42
8.wav,مشن,42,42
8.wav,میں,42,42
9.wav,السلام,0,0
9.wav,علیکم,0,1
9.wav,آج,1,1
9.wav,کے,1,2
9.wav,بعد,2,2
9.wav,آپ,2,2
9.wav,کو,2,2
9.wav,بتانے,2,3
9.wav,جارہا,3,3
9.wav,ہوں,3,3
9.wav,اس,3,4
9.wav,کے,4,4
9.wav,لئے,4,4
9.wav,لیڈیز,4,4
9.wav,پورے,4,5
9.wav,ورلڈ,5,5
9.wav,میں,5,5
9.wav,اس,5,5
9.wav,نے,5,6
9.wav,ایک,6,6
9.wav,ایسا,6,6
9.wav,سنی,6,7
9.wav,کا,7,7
9.wav,ہے,7,7
9.wav,جو,7,7
9.wav,کرتے,7,8
9.wav,ہیں,8,8
9.wav,پیسے,8,9
9.wav,لے,9,9
9.wav,اے,9,10
9.wav,میں,10,10
9.wav,اپ,10,10
9.wav,کو,10,11
9.wav,جسٹس,11,12
9.wav,کیا,12,12
9.wav,گیا,12,13
9.wav,ہے,13,13
9.wav,جو,13,13
9.wav,کرپشن,13,14
9.wav,کی,14,14
9.wav,ہے,14,14
9.wav,جائے,14,15
9.wav,ہم,15,18
9.wav,جب,18,18
9.wav,بھی,18,18
9.wav,کھاتے,18,19
9.wav,ہیں,19,19
9.wav,ہمیں,19,19
9.wav,کرکٹ,19,19
9.wav,ملی,19,20
9.wav,ہے,20,20
9.wav,ایک,20,20
9.wav,تازگی,20,21
9.wav,ملتی,21,21
9.wav,ہے,21,21
9.wav,اسی,21,22
9.wav,طرح,22,22
9.wav,لے,22,22
9.wav,سکے,22,23
9.wav,لیکن,23,24
9.wav,میرے,24,24
9.wav,پاس,24,25
9.wav,بیلنس,25,25
9.wav,نہیں,25,25
9.wav,ہے,25,25
9.wav,پوٹاشیم,25,26
9.wav,بھی,26,26
9.wav,جاتا,26,26
9.wav,ہے,26,26
9.wav,سوری,26,27
9.wav,میں,27,27
9.wav,جاتا,27,27
9.wav,ہے,27,27
9.wav,جسے,27,28
9.wav,کبھی,28,28
9.wav,مل,28,28
9.wav,جائے,28,29
9.wav,یہیں,29,29
9.wav,زمیں,29,29
9.wav,ایک,29,30
9.wav,میں,30,30
9.wav,فائدہ,30,30
9.wav,ملتا,30,30
9.wav,ہے,30,31
9.wav,جو,31,31
9.wav,ہمارے,31,31
9.wav,حلقے,31,31
9.wav,بہت,31,32
9.wav,اچھا,32,32
9.wav,ہے,32,32
9.wav,یہ,32,33
9.wav,کوئی,33,34
9.wav,حریف,34,34
9.wav,نہیں,34,34
9.wav,ہے,34,34
9.wav,بس,34,35
9.wav,ایک,35,35
9.wav,منٹ,35,35
9.wav,میں,35,36
10.wav,ہیلو,0,1
10.wav,دوستو,1,2
10.wav,آج,2,2
10.wav,میں,2,2
10.wav,اپ,2,2
10.wav,کو,2,2
10.wav,بتاؤں,2,3
10.wav,گا,3,3
10.wav,اس,3,3
10.wav,کے,3,3
10.wav,بارے,3,4
10.wav,میں,4,4
10.wav,جس,4,4
10.wav,کے,4,4
10.wav,فیصلے,4,5
10.wav,ورزی,5,5
10.wav,مختلف,5,6
10.wav,یونیورسٹیوں,6,7
10.wav,سے,7,8
10.wav,ہی,8,8
10.wav,آواز,8,9
10.wav,میں,9,9
10.wav,اور,9,10
10.wav,دوسرا,10,11
10.wav,یہ,11,11
10.wav,کہ,11,12
10.wav,یہ,12,12
10.wav,وہ,12,13
10.wav,چیز,13,13
10.wav,ھے,13,13
10.wav,جس,13,14
10.wav,سے,14,14
10.wav,وہ,14,14
10.wav,ڈیلیوری,14,15
10.wav,دوست,15,15
10.wav,ہوتا,15,15
10.wav,ہے,15,15
10.wav,اور,15,16
10.wav,اس,16,16
10.wav,کے,16,17
10.wav,ساتھ,17,18
10.wav,ساتھ,18,18
10.wav,کیا,18,18
10.wav,جاتا,18,19
10.wav,ہے,19,19
10.wav,اور,19,20
10.wav,بچوں,20,20
10.wav,کا,20,20
10.wav,وظیفہ,20,21
10.wav,دہ,21,21
10.wav,ہوتے,21,22
10.wav,ہیں,22,22
11.wav,بتاؤں,0,1
11.wav,گا,1,1
11.wav,میں,1,1
11.wav,اس,1,2
11.wav,کے,2,2
11.wav,بارے,2,2
11.wav,میں,2,2
11.wav,لفظ,2,3
11.wav,بہت,3,3
11.wav,اچھے,3,3
11.wav,کورٹ,3,4
11.wav,ہے,4,5
11.wav,اور,5,5
11.wav,نہ,5,6
11.wav,ہی,6,6
11.wav,اس,6,7
11.wav,کے,7,8
11.wav,بچے,8,8
11.wav,یوز,8,8
11.wav,کرتے,8,8
11.wav,ہیں,8,9
11.wav,اس,9,9
11.wav,کو,9,9
11.wav,اور,9,10
11.wav,اس,10,10
11.wav,کے,10,11
11.wav,بیٹے,11,11
11.wav,ہیں,11,12
11.wav,اور,12,12
11.wav,سب,12,12
11.wav,سے,12,12
11.wav,زیادہ,12,13
11.wav,فروخت,13,13
11.wav,ہونے,13,14
11.wav,والا,14,14
11.wav,جو,14,14
11.wav,ہے,14,14
11.wav,وہ,14,14
11.wav,مسالا,14,15
11.wav,اور,15,15
11.wav,چیز,15,16
11.wav,ہے,16,16
11.wav,اور,16,17
11.wav,یہ,17,18
11.wav,درد,18,18
11.wav,کے,18,19
11.wav,ساتھ,19,19
11.wav,کیا,19,20
11.wav,جاتا,20,20
11.wav,ہے,20,20
11.wav,اور,20,20
11.wav,بچوں,20,21
11.wav,کا,21,21
11.wav,بہت,21,21
11.wav,پسنددیدہ,21,21
11.wav,ہوتا,21,22
11.wav,ہے,22,22
11.wav,اور,22,23
11.wav,وہ,23,24
11.wav,سارے,24,24
11.wav,فائدہ,24,25
11.wav,یہ,25,25
11.wav,ہے,25,25
11.wav,کہ,25,25
11.wav,اس,25,26
11.wav,سے,26,26
11.wav,نتیجہ,26,27
