Sentiment,File_number,Audio_name,Urdu_Translation
0,1,1.wav,پلیز ایک مشہور برینڈ ہے اور لوگوں کو بہت پسند ہے ان کے فلیور کی ٹیکسچر کافی مشہور ہے مشہور ہیں لیکن میرے حساب سے کچھ اور ازمانے کی ضرورت ہے پلیز مجھے بہت پسند ہے اور مجھے لیز اچھے لگتے ہیں
0,2,10_@.wav,بہت مشہور پاکستان میں اور ڈفرنٹ کنٹریز میں کھائے جاتے ہیں لیکن میں اس کے بارے میں یہ کہنا چاہوں گی جو جب یہ اسٹیبلش ہوا تھا 1960 میں تب سے اب تک اس نے بہت زیادہ چینج اچکا ہے وہ فلیور وہ کیسے کہ گورنمنٹ چینج ہوئی ہے
1,3,11.wav,بہت اچھے لگے میں تو بہت لائک کرتا ہوں کھاتا ہوں اور اس میں اور بہت ساری کوالٹیز ہیں اس کے ساتھ لیبر ہیں تو اپ ہی ٹرائی کریں اس کو سبسکرائب کریں تاکہ بہت اچھی ہے اور میرے سے بہت لائٹ کرتا ہوں تو اپ ان شاء اللہ اپ بھی بہت اچھے لگے گا اپ کے ساتھ کھا کے دیکھیں اور اس کے بہت سارے پلیٹ میں نے اور بہت
1,4,12.wav,میرے سے لائک کرتا ہوں اپ بھی اسے ٹرائی کریں اس کے بہت زیادہ فلیور ہوتے ہیں
1,5,13.wav,میں نے لائک کرتا ہوں یہ میرے پسندیدہ ہے اس لئے یہ ساروں کو لائک کرنی چاہیے اس کے بہت اور بھی پلیر فلیور ہے تو اپ بھی یہ ٹرائی کریں یہ بہت اچھے لے جائیں
1,6,14_@.wav,السلام علیکم اج ہم لیس کلاسک چپس کے بارے میں بات کریں گے اج ہم اس کی نیچرل تجزیات کے بارے میں گفتگو کرنے جا رہے ہیں چلیے شروع کرتے ہیں لیس کلاسک شپ اسٹیج صفائی سمپل اور یونیک ہے اس کا اس میں اس کے ٹیسٹ میں کچھ خاص انفارمیشن نہیں ہے لیکن اس کے سمپلی سیٹی بھی کچھ لوگوں کو کافی پسند اتی ہے جس کی وجہ سے لوگ کافی اس کو پسند کرتے ہیں اور کھاتے ہیں یہ ایک اپنی سمپلی سیٹی کی وجہ سے ایک بہترین اسنیک اپشن کے طور پر استعمال ہوتا ہے یہ سمپل اور کرپٹ چیف ہے چیپس ہے اس کو لوگ کافی حد تک پسند کرتے ہیں اور اپنی اس کی پیکنگ بھی صحیح ہے اور اس میں فریشنس بھی برقرار رہتی ہے جس کی وجہ سے بہترین اسنیک اپشن ہے
1,7,15_@.wav,السلام علیکم اج ہم لیز مصالحہ چیف کی تفصیل سے گفتگو کرنے جارہے ہیں اس ویڈیو میں انگریز مسالہ چپس کی تاریخ پر بات کریں گے تو چلیے شروع کرتے ہیں مسالہ چپس ایک دم لاجواب ہیں ان کا مصالحے دار اور چٹپٹا ذائقہ ان کو سب سے بہتر بناتا ہے جب اپ ان کو کھاتے ہیں تو ان کا کرسپی ٹیکسچر اور مزے دار ذائقہ اپ کو بے شمار خوشی دیتا ہے لیز مسالہ سے اسنیکس کی ایک اسنیکس کے لئے ایک الہ انتخاب ہے جن کا لفظ اپ اپنے گھر والوں اور دوستوں کے ساتھ لے سکتے ہیں ان کا معیار اور تازگی انہیں اور بھی بہتر بناتے ہیں پلیز مثالہ چپس مزے دار ذائقہ کے ساتھ زندگی کو رنگین مناتے ہیں
1,8,16.wav,لیز مشہور برانڈ ہے اور لوگوں کو بہت پسند ہے اس کے فلیور اور کافی الگ ہیں لیکن مجھے لگتا ہے لگتا ہے کہ کچھ اور نیا فلیور ٹرائی کرنا چاہیے پڑھائی کرنے کی ضرورت ہے کوئی یونیک سا ہونا چاہیے
1,9,17_Umer.wav,لیز نے مجھے ہر بار خیریت میں ڈال دیا ان کی یونیک فلیور اور پرفیکٹ کرنچ مجھے ہر بائٹ میں خوشی دیتے ہیں میرا دل کہتا ہے کلیج سب سے بہترین ہے
0,10,18.wav,لیزر ایک عام اسنیک ہے جس جو مجھے بہت پسند ہیں میرے لئے وہ ایک ایوریج اپشن ہے کچھ فلیور مجھے بہت پسند ہے اور کچھ وہ بہت بورنگ ہے
