File,Senti
3@Social_Media_N.mp4,0.0
Transgender-N.mp4,0.0
Transgender-3_N.mp4,0.0
Transgender-1N.mp4,0.0
Transgender-6-1NG.mp4,2.0
Disease-1P.mp4,1.0
Disease-2PP.mp4,1.0
Disease-3PP.mp4,1.0
Disease-5P.mp4,1.0
Simple_Life_Dr_Irfan_P.mp4,1.0
Simple_Life_Dr_Irfan-6P.mp4,1.0
Politics_Imran Khan_NG.mp4,2.0
Politics_Imran Khan-_NG.mp4,2.0
Politics_Imran _NG.mp4,2.0
Politics_Imran _--NG.mp4,2.0
Politics_Imran K_NG.mp4,2.0
Politics_Imran Kha_NG.mp4,2.0
Disease_@Dr_P.mp4,1.0
Disease_@Dr_PP.mp4,1.0
Disease_@Dr_PPP.mp4,1.0
@Comm_N.mp4,0.0
@Comm_5P.mp4,1.0
@Comm_7P.mp4,1.0
@Social_1P.mp4,1.0
@Social_N.mp4,0.0
@Social_2NG.mp4,2.0
@Social_-NG.mp4,2.0
@Social__NG.mp4,2.0
@Social_37_P.mp4,1.0
@Social_-37P.mp4,1.0
@Social_5_N.mp4,0.0
@Social_6_N.mp4,0.0
@Social_NG.mp4,2.0
@Brain_Drain_NG.mp4,2.0
@Education_Actual_N_N.mp4,0.0
@Sociall_P.mp4,1.0
@Sociall_(negation)_N.mp4,0.0
@Sociall_PPPP.mp4,1.0
@Sociall_PP.mp4,1.0
@Sociall----_NG.mp4,2.0
@Sociall_--NG.mp4,2.0
@Sociall--_NG.mp4,2.0
@Sociall----NG.mp4,2.0
@Stress_Management(context)_P.mp4,1.0
@Resaerch_Journals_P.mp4,1.0
@Resaerch_Journals_-2P.mp4,1.0
@Resaerch_Journals_6P.mp4,1.0
@Resaerch_Journals_7N.mp4,0.0
@Paper_NN.mp4,0.0
@Paper_3P.mp4,1.0
@Transgender__Host_NG.mp4,2.0
@Transgender__Host_-NG.mp4,2.0
@Transgender__Host_(negation)P.mp4,1.0
@Power__Host_3N.mp4,0.0
@Power__Host_4N.mp4,0.0
@MobileNG.mp4,2.0
@Mobile2-NG.mp4,2.0
@Social_1NG.mp4,2.0
@Social_2N.mp4,0.0
@Social_P.mp4,1.0
@Social_4P.mp4,1.0
@Police_ALL_1N.mp4,0.0
@Police_ALL_N.mp4,0.0
@Police_ALL2_N.mp4,0.0
@Police_ALL4_N.mp4,0.0
@Police_ALL5_N.mp4,0.0
@Police_ALL_6N.mp4,0.0
@Police_ALL_7N.mp4,0.0
@Police_ALL_8P.mp4,1.0
@Women_Rights_NGNG.mp4,2.0
@Women_RightsNGNG.mp4,2.0
@Women_Rights_NG.mp4,2.0
@Women_Rights4_NG.mp4,2.0
@Adnan_NG.mp4,2.0
@Adnan2_NG.mp4,2.0
@Adnan_N.mp4,0.0
@Adnan__N.mp4,0.0
@Adnan_5_N.mp4,0.0
@Best_Life1_N.mp4,0.0
@Best_Life_-N.mp4,0.0
@Best_Life3_N.mp4,0.0
@Best_Life_N.mp4,0.0
@Intolerance_Society_NG.mp4,2.0
@Intolerance_Society-N.mp4,0.0
@Intolerance_Society-2N.mp4,0.0
@Intolerance_Society-3N.mp4,0.0
@Intolerance_Society-4N.mp4,0.0
@Intolerance_Society-5N.mp4,0.0
@Intolerance_Society-7N.mp4,0.0
@PTA Phones_N.mp4,0.0
@PTA Phones Mix_N.mp4,0.0
@PTA Phones Mix3_N.mp4,0.0
@M_Nawaz_NG.mp4,2.0
@M_Nawaz-2_N.mp4,0.0
@M_Saad_RAfiq_NG.mp4,2.0
@M_Saad_RAfiq_2_N.mp4,0.0
@M_Saad_RAfiq_3N.mp4,0.0
@Mobile_P.mp4,1.0
@Mobile_3P.mp4,1.0
@Makeup_N.mp4,0.0
@Makeup_P.mp4,1.0
@Makeup_3_N.mp4,0.0
