File,Senti
3@Social_Media_N,0
Transgender-6-1NG,2
Disease-1P,1
Disease-2PP,1
Disease-3PP,1
Disease-5P,1
Simple_Life_Dr_Irfan_P,1
Simple_Life_Dr_Irfan-6P,1
Politics_Imran Khan_NG,2
Politics_Imran Khan-_NG,2
Politics_Imran _NG,2
Politics_Imran _--NG,2
Politics_Imran K_NG,2
Politics_Imran Kha_NG,2
Disease_@Dr_P,1
Disease_@Dr_PP,1
Disease_@Dr_PPP,1
@Comm_N,0
@Comm_5P,1
@Comm_7P,1
@Social_1P,1
@Social_N,0
@Social_2NG,2
@Social_-NG,2
@Social__NG,2
@Social_37_P,1
@Social_-37P,1
@Social_5_N,0
@Social_6_N,0
@Social_NG,2
@Brain_Drain_NG,2
@Education_Actual_N_N,0
@Sociall_P,1
@Sociall_(negation)_N,0
@Sociall_PPPP,1
@Sociall_PP,1
@Sociall----_NG,2
@Sociall_--NG,2
@Sociall--_NG,2
@Sociall----NG,2
@Stress_Management(context)_P,1
@Resaerch_Journals_P,1
@Resaerch_Journals_-2P,1
@Resaerch_Journals_6P,1
@Resaerch_Journals_7N,0
@Paper_NN,0
@Paper_3P,1
@Transgender__Host_NG,2
@Transgender__Host_-NG,2
@Transgender__Host_(negation)P,1
@Power__Host_3N,0
@Power__Host_4N,0
@MobileNG,2
@Mobile2-NG,2
@Social_1NG,2
@Social_2N,0
@Social_P,1
@Social_4P,1
@Police_ALL_1N,0
@Police_ALL_N,0
@Police_ALL_8P,1
@Women_Rights_NGNG,2
@Women_RightsNGNG,2
@Women_Rights_NG,2
@Women_Rights4_NG,2
@Adnan_NG,2
@Adnan2_NG,2
@Adnan_N,0
@Adnan__N,0
@Adnan_5_N,0
@Best_Life1_N,0
@Intolerance_Society_NG,2
@Intolerance_Society-N,0
@Intolerance_Society-2N,0
@Intolerance_Society-3N,0
@Intolerance_Society-4N,0
@PTA Phones_N,0
@PTA Phones Mix_N,0
@PTA Phones Mix3_N,0
@M_Nawaz_NG,2
@M_Saad_RAfiq_NG,2
@M_Saad_RAfiq_2_N,0
@M_Saad_RAfiq_3N,0
@Mobile_P,1
@Mobile_3P,1
@Makeup_N,0
@Makeup_P,1
@Makeup_3_N,0
205 (106),0
205 (117),2
205 (141),2
205 (142),2
205 (143),2
203 (1),2
205 (107),0
205 (108),0
205 (109),0
205 (110),1
205 (111),0
205 (112),2
204 (1),2
204 (2),2
204 (3),1
204 (4),2
204 (7),1
204 (8),0
205 (2),0
205 (3),1
205 (4),1
205 (5),2
205 (6),2
205 (7),0
205 (10),2
205 (13),2
205 (14),2
205 (15),2
205 (16),1
205 (19),2
205 (20),1
205 (21),1
205 (22),1
205 (27),0
205 (31),1
205 (32),1
205 (34),1
205 (36),1
205 (39),1
205 (50),1
205 (54),1
205 (55),1
205 (56),1
205 (67),2
205 (72),1
205 (75),2
205 (81),2
205 (82),1
205 (83),2
205 (85),1
205 (91),2
205 (92),2
205 (95),1
205 (97),1
205 (98),2
205 (118),1
205 (119),1
205 (121),1
205 (122),2
205 (123),2
205 (128),2
205 (130),2
205 (133),2
205 (134),2
205 (135),2
205 (139),2
202 (2),1
202 (3),0
202 (4),0
202 (6),0
202 (7),0
202 (8),0
202 (9),0
202 (10),0
202 (11),0
202 (12),0
202 (13),0
202 (16),0
202 (17),0
202 (18),0
202 (19),0
202 (20),0
202 (21),0
202 (22),0
202 (23),0
202 (24),0
202 (25),0
202 (26),0
202 (27),0
202 (29),0
202 (30),0
202 (31),0
202 (33),1
202 (37),0
202 (38),0
202 (39),0
202 (41),0
202 (42),0
202 (43),0
202 (44),0
202 (46),0
202 (47),0
202 (48),0
202 (49),0
202 (50),0
203 (2),0
203 (3),0
203 (4),0
203 (5),0
203 (6),0
203 (8),0
203 (9),0
203 (10),0
203 (11),0
203 (12),0
203 (13),0
203 (14),0
203 (15),0
203 (16),0
203 (17),0
203 (18),0
203 (19),0
203 (20),0
203 (21),0
203 (23),0
203 (24),0
203 (25),0
203 (26),0
203 (27),0
203 (28),0
203 (29),0
203 (30),0
203 (31),1
203 (32),1
203 (34),1
203 (35),1
203 (36),1
203 (37),0
203 (38),1
203 (39),0
203 (41),0
203 (44),0
203 (45),2
203 (48),1
203 (50),1
203 (52),1
203 (53),1
203 (54),1
203 (55),1
203 (56),1
203 (59),1
203 (60),1
203 (62),1
203 (63),1
203 (64),1
203 (66),1
203 (69),1
203 (70),1
203 (72),0
203 (73),1
203 (77),1
203 (96),1
203 (97),1
203 (99),1
203 (100),1
203 (101),1
203 (80),1
203 (81),1
203 (82),0
203 (83),1
203 (84),1
203 (85),1
203 (86),1
203 (88),1
203 (90),0
203 (91),1
203 (92),1
203 (93),1
201 (4),2
201 (7),2
201 (8),2
201 (9),2
200 (3),2
200 (5),0
200 (9),1
200 (12),1
200 (14),0
200 (15),0
200 (19),1
200 (20),1
200 (22),1
200 (23),0
200 (25),0
200 (26),1
200 (27),1
200 (28),1
200 (30),1
200 (31),2
200 (33),2
