audio_name,word,start_time,end_time,video_name,start_time,end_time,frame_path
1.wav,پلیز,0.0,2.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_0.jpg
1.wav,یہ,2.0,2.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_1.jpg
1.wav,مشہور,2.0,3.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_2.jpg
1.wav,ترین,3.0,3.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_3.jpg
1.wav,ہے,3.0,3.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_4.jpg
1.wav,اور,3.0,3.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_5.jpg
1.wav,لوگوں,3.0,4.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_6.jpg
1.wav,کو,4.0,4.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_7.jpg
1.wav,بہت,4.0,4.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_8.jpg
1.wav,پسند,4.0,4.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_9.jpg
1.wav,ہے,4.0,5.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_10.jpg
1.wav,ان,5.0,5.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_11.jpg
1.wav,کے,5.0,5.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_12.jpg
1.wav,فلیور,5.0,5.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_13.jpg
1.wav,ٹیچر,5.0,7.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_14.jpg
1.wav,کافی,7.0,7.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_15.jpg
1.wav,مشہور,7.0,8.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_16.jpg
1.wav,ہے,8.0,9.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_17.jpg
1.wav,اور,9.0,12.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_18.jpg
1.wav,آزمایا,12.0,12.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_19.jpg
1.wav,ہے,12.0,13.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_20.jpg
1.wav,پلیز,13.0,15.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_21.jpg
1.wav,مجھے,15.0,16.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_22.jpg
1.wav,بہت,16.0,16.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_23.jpg
1.wav,پسند,16.0,16.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_24.jpg
1.wav,ہیں,16.0,17.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_25.jpg
1.wav,اور,17.0,17.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_26.jpg
1.wav,مجھے,17.0,18.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_27.jpg
1.wav,بہت,18.0,18.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_28.jpg
1.wav,اچھے,18.0,19.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_29.jpg
1.wav,لگتے,19.0,19.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_30.jpg
1.wav,ہیں,19.0,19.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_31.jpg
2.wav,میری,0.0,2.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_32.jpg
2.wav,پسندیدہ,2.0,2.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_33.jpg
2.wav,سنیکس,2.0,3.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_34.jpg
2.wav,ہے,3.0,3.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_35.jpg
2.wav,اور,3.0,4.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_36.jpg
2.wav,ہر,4.0,4.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_37.jpg
2.wav,پانچ,4.0,4.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_38.jpg
2.wav,میں,4.0,4.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_39.jpg
2.wav,خوش,4.0,5.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_40.jpg
2.wav,رہتی,5.0,6.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_41.jpg
2.wav,ہے,6.0,6.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_42.jpg
2.wav,اور,6.0,8.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_43.jpg
2.wav,ان,8.0,13.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_44.jpg
2.wav,کے,13.0,13.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_45.jpg
2.wav,سارے,13.0,13.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_46.jpg
2.wav,فلیور,13.0,14.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_47.jpg
2.wav,میرے,14.0,14.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_48.jpg
2.wav,لیے,14.0,15.0,1.mp4,0,2,/content/gdrive/MyDrive/work2/frames/1/1@0-2@frame_49.jpg
2.wav,اچھے,15.0,15.0,1.mp4,2,2,/content/gdrive/MyDrive/work2/frames/1/1@2-2@frame_49.jpg
2.wav,میں,15.0,16.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_49.jpg
2.wav,یہ,16.0,16.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_50.jpg
2.wav,حدیث,16.0,17.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_51.jpg
2.wav,کی,17.0,17.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_52.jpg
2.wav,تعریف,17.0,17.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_53.jpg
2.wav,کہاں,18.0,20.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_54.jpg
2.wav,کام,20.0,20.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_55.jpg
2.wav,ہو,20.0,21.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_56.jpg
2.wav,سکتے,21.0,21.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_57.jpg
2.wav,ہیں,21.0,22.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_58.jpg
3.wav,نام,0.0,0.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_59.jpg
3.wav,ساغر,0.0,1.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_60.jpg
3.wav,ہے,1.0,1.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_61.jpg
3.wav,اور,1.0,2.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_62.jpg
3.wav,آج,2.0,2.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_63.jpg
3.wav,مجھ,2.0,2.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_64.jpg
3.wav,سے,2.0,2.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_65.jpg
3.wav,لیس,2.0,4.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_66.jpg
3.wav,کر,4.0,4.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_67.jpg
3.wav,دیا,4.0,4.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_68.jpg
3.wav,گیا,4.0,5.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_69.jpg
3.wav,ہے,5.0,5.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_70.jpg
3.wav,جس,5.0,15.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_71.jpg
3.wav,میں,15.0,15.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_72.jpg
3.wav,لیڈیز,15.0,15.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_73.jpg
3.wav,فینسی,15.0,16.0,1.mp4,2,3,/content/gdrive/MyDrive/work2/frames/1/1@2-3@frame_74.jpg
3.wav,کی,16.0,16.0,1.mp4,3,3,/content/gdrive/MyDrive/work2/frames/1/1@3-3@frame_74.jpg
3.wav,ایکسپورٹ,16.0,17.0,1.mp4,3,3,/content/gdrive/MyDrive/work2/frames/1/1@3-3@frame_74.jpg
3.wav,ہے,17.0,17.0,1.mp4,3,3,/content/gdrive/MyDrive/work2/frames/1/1@3-3@frame_74.jpg
3.wav,اس,17.0,18.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_74.jpg
3.wav,لیے,18.0,18.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_75.jpg
3.wav,میں,18.0,19.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_76.jpg
3.wav,اسے,19.0,19.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_77.jpg
3.wav,ایک,19.0,19.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_78.jpg
3.wav,ریسٹورینٹ,19.0,20.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_79.jpg
3.wav,بائیکاٹ,20.0,21.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_80.jpg
3.wav,کر,21.0,21.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_81.jpg
3.wav,رہا,21.0,21.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_82.jpg
3.wav,ہوں,21.0,21.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_83.jpg
3.wav,ٹھیک,21.0,23.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_84.jpg
3.wav,ہے,23.0,24.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_85.jpg
3.wav,جو,24.0,24.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_86.jpg
3.wav,ہے,24.0,25.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_87.jpg
3.wav,وہ,25.0,25.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_88.jpg
3.wav,غلط,25.0,25.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_89.jpg
3.wav,ہے,25.0,25.0,1.mp4,3,4,/content/gdrive/MyDrive/work2/frames/1/1@3-4@frame_90.jpg
